TIMESTAMPms	M1RAWIMUxgyro	M1RAWIMUygyro	M1RAWIMUzgyro
67681	-4.000000000000000e+0	-1.000000000000000e+0	-1.398000000000000e+3
67921	6.200000000000000e+1	1.820000000000000e+2	-1.445000000000000e+3
68161	1.260000000000000e+2	2.840000000000000e+2	-1.369000000000000e+3
68401	2.100000000000000e+2	3.590000000000000e+2	-4.100000000000000e+2
68641	1.940000000000000e+2	3.450000000000000e+2	5.000000000000000e+0
68881	1.410000000000000e+2	2.800000000000000e+2	2.530000000000000e+2
69121	5.400000000000000e+1	2.070000000000000e+2	5.200000000000000e+1
69361	5.300000000000000e+1	1.410000000000000e+2	8.000000000000000e+0
69601	4.100000000000000e+1	7.100000000000000e+1	-1.200000000000000e+1
69841	3.600000000000000e+1	-1.700000000000000e+1	7.000000000000000e+0
70081	1.000000000000000e+1	-1.200000000000000e+2	-1.400000000000000e+1
70321	-1.500000000000000e+1	-2.110000000000000e+2	-1.400000000000000e+1
70561	-1.500000000000000e+1	-2.740000000000000e+2	1.700000000000000e+1
70801	3.000000000000000e+0	-3.240000000000000e+2	-2.700000000000000e+1
71041	-7.000000000000000e+0	-2.860000000000000e+2	-6.500000000000000e+1
71281	-3.800000000000000e+1	-1.180000000000000e+2	-8.240000000000000e+2
71521	2.400000000000000e+1	-1.000000000000000e+1	-4.850000000000000e+2
71761	4.500000000000000e+1	1.450000000000000e+2	-5.800000000000000e+1
72001	5.300000000000000e+1	2.970000000000000e+2	1.080000000000000e+2
72241	-1.000000000000000e+0	3.450000000000000e+2	-1.000000000000000e+0
72480	1.000000000000000e+0	3.400000000000000e+2	1.400000000000000e+1
72721	-5.000000000000000e+0	2.930000000000000e+2	3.300000000000000e+1
72961	7.000000000000000e+0	2.040000000000000e+2	1.700000000000000e+1
73201	5.000000000000000e+0	9.700000000000000e+1	-2.400000000000000e+1
73441	1.100000000000000e+1	-2.000000000000000e+0	1.600000000000000e+1
73681	1.200000000000000e+1	-7.600000000000000e+1	-8.000000000000000e+0
73921	5.000000000000000e+0	-1.850000000000000e+2	5.000000000000000e+0
74161	2.800000000000000e+1	-3.060000000000000e+2	-2.300000000000000e+1
74401	-1.700000000000000e+1	-4.200000000000000e+2	-5.000000000000000e+0
74641	-5.900000000000000e+1	-4.440000000000000e+2	-1.300000000000000e+1
74881	1.700000000000000e+1	-2.790000000000000e+2	-1.690000000000000e+2
75121	5.000000000000000e+0	-7.000000000000000e+1	1.600000000000000e+1
75361	-2.000000000000000e+0	1.230000000000000e+2	-2.400000000000000e+1
75601	-2.500000000000000e+1	2.250000000000000e+2	-6.900000000000000e+1
75841	-1.900000000000000e+1	3.020000000000000e+2	-1.400000000000000e+1
76081	-1.400000000000000e+1	3.240000000000000e+2	2.500000000000000e+1
76321	-1.200000000000000e+1	3.290000000000000e+2	1.200000000000000e+1
76561	-1.100000000000000e+1	2.980000000000000e+2	1.400000000000000e+1
76801	1.400000000000000e+1	2.140000000000000e+2	-2.000000000000000e+0
77041	8.800000000000000e+1	1.220000000000000e+2	2.100000000000000e+1
77281	8.100000000000000e+1	2.160000000000000e+2	-3.890000000000000e+2
77521	-2.900000000000000e+1	1.040000000000000e+2	1.550000000000000e+2
77761	1.300000000000000e+1	-6.200000000000000e+1	5.800000000000000e+1
78001	1.350000000000000e+2	-1.860000000000000e+2	8.100000000000000e+1
78241	2.900000000000000e+1	-3.010000000000000e+2	7.400000000000000e+1
78481	-2.100000000000000e+1	-5.450000000000000e+2	1.300000000000000e+2
78721	-3.240000000000000e+2	-5.860000000000000e+2	-2.150000000000000e+2
78961	-6.600000000000000e+1	5.460000000000000e+2	-1.070000000000000e+2
79201	-1.930000000000000e+2	1.139000000000000e+3	1.110000000000000e+2
79441	-2.650000000000000e+2	7.180000000000000e+2	-2.600000000000000e+1
79681	-2.500000000000000e+1	1.610000000000000e+2	-1.860000000000000e+2
79921	8.000000000000000e+0	-3.100000000000000e+1	-7.400000000000000e+1
80161	1.520000000000000e+2	-6.160000000000000e+2	8.100000000000000e+1
80401	2.420000000000000e+2	-1.281000000000000e+3	1.730000000000000e+2
80641	-5.000000000000000e+0	-1.210000000000000e+3	-1.090000000000000e+2
80881	1.250000000000000e+2	-7.060000000000000e+2	7.900000000000000e+1
81121	1.000000000000000e+2	-2.730000000000000e+2	-2.000000000000000e+0
81361	1.000000000000000e+2	2.090000000000000e+2	-7.200000000000000e+1
81601	-8.000000000000000e+0	6.910000000000000e+2	6.300000000000000e+1
81841	-1.230000000000000e+2	8.040000000000000e+2	1.000000000000000e+2
82081	-1.160000000000000e+2	4.820000000000000e+2	1.060000000000000e+2
82321	-5.900000000000000e+1	1.400000000000000e+2	5.200000000000000e+1
82561	-4.000000000000000e+0	-6.900000000000000e+1	-1.600000000000000e+1
82801	7.300000000000000e+1	-7.700000000000000e+1	-9.000000000000000e+1
83041	1.710000000000000e+2	-1.200000000000000e+1	-7.300000000000000e+1
83281	1.380000000000000e+2	1.080000000000000e+2	1.000000000000000e+1
83521	1.250000000000000e+2	1.830000000000000e+2	3.800000000000000e+1
83761	1.110000000000000e+2	1.830000000000000e+2	1.000000000000000e+0
84001	1.350000000000000e+2	9.800000000000000e+1	4.100000000000000e+1
84241	-3.800000000000000e+1	-6.300000000000000e+1	1.000000000000000e+1
84481	-6.700000000000000e+1	-3.020000000000000e+2	-2.800000000000000e+1
84721	-1.270000000000000e+2	-4.600000000000000e+2	3.000000000000000e+0
84961	-1.350000000000000e+2	-4.280000000000000e+2	-2.400000000000000e+1
85201	-5.800000000000000e+1	-2.510000000000000e+2	4.000000000000000e+0
85441	2.600000000000000e+1	-4.500000000000000e+1	-4.100000000000000e+1
85681	4.000000000000000e+1	1.200000000000000e+2	1.000000000000000e+1
85921	6.000000000000000e+1	2.550000000000000e+2	-2.300000000000000e+1
86161	4.000000000000000e+1	3.450000000000000e+2	8.000000000000000e+0
86401	-5.200000000000000e+1	3.930000000000000e+2	-8.100000000000000e+1
86641	-1.710000000000000e+2	4.030000000000000e+2	-3.000000000000000e+0
86881	-3.550000000000000e+2	3.390000000000000e+2	-3.900000000000000e+1
87121	-2.700000000000000e+2	3.310000000000000e+2	-2.700000000000000e+1
87361	4.800000000000000e+1	9.200000000000000e+1	1.010000000000000e+2
87601	1.760000000000000e+2	-1.190000000000000e+2	7.600000000000000e+1
87841	1.870000000000000e+2	-3.110000000000000e+2	-4.600000000000000e+1
88080	1.680000000000000e+2	-4.880000000000000e+2	-8.000000000000000e+0
88321	1.220000000000000e+2	-6.070000000000000e+2	3.000000000000000e+1
